<!DOCTYPE,html>
NA,"<meta name=""octolytics-dimension-user_id"" content=""14034784"" /><meta name=""octolytics-dimension-user_login"" content=""EmilHvitfeldt"" /><meta name=""octolytics-dimension-repository_id"" content=""127393589"" /><meta name=""octolytics-dimension-repository_nwo"" content=""EmilHvitfeldt/smltar"" /><meta name=""octolytics-dimension-repository_public"" content=""true"" /><meta name=""octolytics-dimension-repository_is_fork"" content=""false"" /><meta name=""octolytics-dimension-repository_network_root_id"" content=""127393589"" /><meta name=""octolytics-dimension-repository_network_root_nwo"" content=""EmilHvitfeldt/smltar"" />"
NA,"<link rel=""canonical"" href=""https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz"" data-pjax-transient>"
NA,"<meta name=""browser-stats-url"" content=""https://api.github.com/_private/browser/stats"">"
NA,"<meta name=""browser-errors-url"" content=""https://api.github.com/_private/browser/errors"">"
NA,"<meta name=""browser-optimizely-client-errors-url"" content=""https://api.github.com/_private/browser/optimizely_client/errors"">"
NA,"<link rel=""mask-icon"" href=""https://github.githubassets.com/pinned-octocat.svg"" color=""#000000"">"
NA,"<link rel=""alternate icon"" class=""js-site-favicon"" type=""image/png"" href=""https://github.githubassets.com/favicons/favicon.png"">"
NA,"<link rel=""icon"" class=""js-site-favicon"" type=""image/svg+xml"" href=""https://github.githubassets.com/favicons/favicon.svg"">"
<meta,"name=""theme-color"" content=""#1e2327"">"
<meta,"name=""color-scheme"" content=""light dark"" />"
NA,"<link rel=""manifest"" href=""/manifest.json"" crossOrigin=""use-credentials"">"
NA,</head>
NA,"<body class=""logged-out env-production page-responsive page-blob"" style=""word-wrap: break-word;"">"
NA,"<div class=""position-relative js-header-wrapper "">
      <a href=""#start-of-content"" class=""px-2 py-4 color-bg-accent-emphasis color-fg-on-emphasis show-on-focus js-skip-to-content"">Skip to content</a>"
NA,"<span data-view-component=""true"" class=""progress-pjax-loader js-pjax-loader-bar Progress position-fixed width-full"">"
NA,"<span style=""width: 0%;"" data-view-component=""true"" class=""Progress-item progress-pjax-loader-bar left-0 top-0 color-bg-accent-emphasis""></span>"
</span>,NA
NA,"<header class=""Header-old header-logged-out js-details-container Details position-relative f4 py-2"" role=""banner"">"
NA,"<div class=""container-xl d-lg-flex flex-items-center p-responsive"">"
NA,"<div class=""d-flex flex-justify-between flex-items-center"">"
NA,"<a class=""mr-4 color-fg-inherit"" href=""https://github.com/"" aria-label=""Homepage"" data-ga-click=""(Logged out) Header, go to homepage, icon:logo-wordmark"">"
NA,"<svg height=""32"" aria-hidden=""true"" viewBox=""0 0 16 16"" version=""1.1"" width=""32"" data-view-component=""true"" class=""octicon octicon-mark-github"">"
NA,"<path fill-rule=""evenodd"" d=""M8 0C3.58 0 0 3.58 0 8c0 3.54 2.29 6.53 5.47 7.59.4.07.55-.17.55-.38 0-.19-.01-.82-.01-1.49-2.01.37-2.53-.49-2.69-.94-.09-.23-.48-.94-.82-1.13-.28-.15-.68-.52-.01-.53.63-.01 1.08.58 1.23.82.72 1.21 1.87.87 2.33.66.07-.52.28-.87.51-1.07-1.78-.2-3.64-.89-3.64-3.95 0-.87.31-1.59.82-2.15-.08-.2-.36-1.02.08-2.12 0 0 .67-.21 2.2.82.64-.18 1.32-.27 2-.27.68 0 1.36.09 2 .27 1.53-1.04 2.2-.82 2.2-.82.44 1.1.16 1.92.08 2.12.51.56.82 1.27.82 2.15 0 3.07-1.87 3.75-3.65 3.95.29.25.54.73.54 1.48 0 1.07-.01 1.93-.01 2.2 0 .21.15.46.55.38A8.013 8.013 0 0016 8c0-4.42-3.58-8-8-8z""></path>"
</svg>,NA
NA,</a>
NA,"<div class=""d-lg-none css-truncate css-truncate-target width-fit p-2"">"
NA,</div>
NA,"<div class=""d-flex flex-items-center"">"
NA,"<a href=""/signup?ref_cta=Sign+up&amp;ref_loc=header+logged+out&amp;ref_page=%2F%3Cuser-name%3E%2F%3Crepo-name%3E%2Fblob%2Fshow&amp;source=header-repo"""
NA,"class=""d-inline-block d-lg-none f5 no-underline border color-border-default rounded-2 px-2 py-1 mr-3 mr-sm-5 color-fg-inherit"""
NA,"data-hydro-click=""{&quot;event_type&quot;:&quot;authentication.click&quot;,&quot;payload&quot;:{&quot;location_in_page&quot;:&quot;site header&quot;,&quot;repository_id&quot;:null,&quot;auth_type&quot;:&quot;SIGN_UP&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""5664df01654dd1bf131dc3b4f96fd4b12bdfbaf3ccc07dd87da25daf9504bab0"""
NA,>
NA,Sign&nbsp;up
NA,</a>
NA,"<button aria-label=""Toggle navigation"" aria-expanded=""false"" type=""button"" data-view-component=""true"" class=""js-details-target btn-link d-lg-none mt-1 color-fg-inherit"">  <svg aria-hidden=""true"" height=""24"" viewBox=""0 0 16 16"" version=""1.1"" width=""24"" data-view-component=""true"" class=""octicon octicon-three-bars"">"
NA,"<path fill-rule=""evenodd"" d=""M1 2.75A.75.75 0 011.75 2h12.5a.75.75 0 110 1.5H1.75A.75.75 0 011 2.75zm0 5A.75.75 0 011.75 7h12.5a.75.75 0 110 1.5H1.75A.75.75 0 011 7.75zM1.75 12a.75.75 0 100 1.5h12.5a.75.75 0 100-1.5H1.75z""></path>"
</svg>,NA
</button>,</div>
NA,</div>
NA,"<div class=""HeaderMenu HeaderMenu--logged-out position-fixed top-0 right-0 bottom-0 height-fit position-lg-relative d-lg-flex flex-justify-between flex-items-center flex-auto"">"
NA,"<div class=""d-flex d-lg-none flex-justify-end border-bottom color-bg-subtle p-3"">"
NA,"<button aria-label=""Toggle navigation"" aria-expanded=""false"" type=""button"" data-view-component=""true"" class=""js-details-target btn-link"">  <svg aria-hidden=""true"" height=""24"" viewBox=""0 0 24 24"" version=""1.1"" width=""24"" data-view-component=""true"" class=""octicon octicon-x color-fg-muted"">"
NA,"<path fill-rule=""evenodd"" d=""M5.72 5.72a.75.75 0 011.06 0L12 10.94l5.22-5.22a.75.75 0 111.06 1.06L13.06 12l5.22 5.22a.75.75 0 11-1.06 1.06L12 13.06l-5.22 5.22a.75.75 0 01-1.06-1.06L10.94 12 5.72 6.78a.75.75 0 010-1.06z""></path>"
</svg>,NA
</button>,</div>
NA,"<nav class=""mt-0 px-3 px-lg-0 mb-5 mb-lg-0"" aria-label=""Global"">"
NA,"<ul class=""d-lg-flex list-style-none"">"
NA,"<li class=""mr-0 mr-lg-3 position-relative flex-wrap flex-justify-between flex-items-center border-bottom border-lg-bottom-0 d-block d-lg-flex flex-lg-nowrap flex-lg-items-center"">"
NA,"<details class=""HeaderMenu-details details-overlay details-reset width-full"">"
NA,"<summary class=""HeaderMenu-summary HeaderMenu-link px-0 py-3 border-0 no-wrap d-block d-lg-inline-block"">"
NA,Why GitHub?
NA,"<svg x=""0"" y=""0"" viewBox=""0 0 14 8"" xml:space=""preserve"" fill=""none"" class=""icon-chevon-down-mktg position-absolute position-lg-relative""><path d=""M1,1l6.2,6L13,1""></path></svg>"
NA,</summary>
NA,"<div class=""dropdown-menu flex-auto rounded px-0 mt-0 pb-4 p-lg-4 position-relative position-lg-absolute left-0 left-lg-n4"">"
NA,"<ul class=""list-style-none f5 pb-1"">"
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--primary text-bold py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Features&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Features;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""9ef94b1475e65f6164b96e16ff0f9e48fa50cd7608b4d42927ecb97825572705"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Features&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Features;&quot;}"" href=""/features"">"
NA,Features
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Mobile&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Mobile;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""ad587338485d761ee88afd7ecd14f29c32eab2a675887f3d7c9537df49749e2d"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Mobile&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Mobile;&quot;}"" href=""/mobile"">"
NA,Mobile
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Actions&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Actions;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""efb546cf366cb6961809e55588bd0da5e844c89619f2c5bbe148bdb25c499b29"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Actions&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Actions;&quot;}"" href=""/features/actions"">"
NA,Actions
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Codespaces&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Codespaces;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""85179909d9c9e57e34190c6058b592172649eb8cc261bc52a25da584906ba754"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Codespaces&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Codespaces;&quot;}"" href=""/features/codespaces"">"
NA,Codespaces
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Packages&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Packages;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""a2deac25e943fed7333901cee65bea8cbaeb4a8109ef83e9660aef98e977b6c3"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Packages&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Packages;&quot;}"" href=""/features/packages"">"
NA,Packages
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Security&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Security;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""e2f0004783967783ac5893faeccbd273cf7000777dd6e847e182c4a68605fb51"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Security&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Security;&quot;}"" href=""/features/security"">"
NA,Security
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Code review&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Code review;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""a1276d34597601974615ea79586ed897b7ba142e2a5f38ae3bf4f427d010fafc"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Code review&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Code review;&quot;}"" href=""/features/code-review"">"
NA,Code review
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Issues&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Issues;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""64197c026e3c65b3a1c41c4e170115a495bddf3ccf15abb626a3aed59b85c5b0"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Issues&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Issues;&quot;}"" href=""/features/issues"">"
NA,Issues
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Integrations&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Integrations;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""ba2fa36b34e428da95f0b12babdd633930ce8fc6079dc9d1b0b2605e7fb0b0ab"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Integrations&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Integrations;&quot;}"" href=""/features/integrations"">"
NA,Integrations
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--primary text-bold border-top pt-4 pb-2 mt-3"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to GitHub Sponsors&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:GitHub Sponsors;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""6de2877027fdd5b33433c3866caf7ac96df1c9e81c233c6303c54f7956d93acb"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to GitHub Sponsors&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:GitHub Sponsors;&quot;}"" href=""/sponsors"">"
NA,GitHub Sponsors
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--primary text-bold py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Customer stories&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Customer stories;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""a84f909153db078e7623054433b65dee15e57ff40e8bd3f30fa60d278515aa4a"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Why GitHub?&quot;,&quot;action&quot;:&quot;click to go to Customer stories&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Customer stories;&quot;}"" href=""/customer-stories"">"
NA,Customer stories
</a>,</li>
NA,</ul>
NA,</div>
NA,</details>
</li>,NA
NA,"<li class=""mr-0 mr-lg-3 position-relative flex-wrap flex-justify-between flex-items-center border-bottom border-lg-bottom-0 d-block d-lg-flex flex-lg-nowrap flex-lg-items-center"">"
NA,"<a class=""HeaderMenu-link no-underline py-3 d-block d-lg-inline-block"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header menu top item (logged out)&quot;,&quot;action&quot;:&quot;click to go to Team&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Team;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""82332235d9bc172691049d2e43e33bbbdee061ff129afea0b9b6e8e7a3b52b70"" data-analytics-event=""{&quot;category&quot;:&quot;Header menu top item (logged out)&quot;,&quot;action&quot;:&quot;click to go to Team&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Team;&quot;}"" href=""/team"">Team</a>"
</li>,NA
NA,"<li class=""mr-0 mr-lg-3 position-relative flex-wrap flex-justify-between flex-items-center border-bottom border-lg-bottom-0 d-block d-lg-flex flex-lg-nowrap flex-lg-items-center"">"
NA,"<a class=""HeaderMenu-link no-underline py-3 d-block d-lg-inline-block"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header menu top item (logged out)&quot;,&quot;action&quot;:&quot;click to go to Enterprise&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Enterprise;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""f82d70b403d5b052f1e3c7768b365d76acf774a93192e8003c97e35a961e7fc7"" data-analytics-event=""{&quot;category&quot;:&quot;Header menu top item (logged out)&quot;,&quot;action&quot;:&quot;click to go to Enterprise&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Enterprise;&quot;}"" href=""/enterprise"">Enterprise</a>"
</li>,NA
NA,"<li class=""mr-0 mr-lg-3 position-relative flex-wrap flex-justify-between flex-items-center border-bottom border-lg-bottom-0 d-block d-lg-flex flex-lg-nowrap flex-lg-items-center"">"
NA,"<details class=""HeaderMenu-details details-overlay details-reset width-full"">"
NA,"<summary class=""HeaderMenu-summary HeaderMenu-link px-0 py-3 border-0 no-wrap d-block d-lg-inline-block"">"
NA,Explore
NA,"<svg x=""0"" y=""0"" viewBox=""0 0 14 8"" xml:space=""preserve"" fill=""none"" class=""icon-chevon-down-mktg position-absolute position-lg-relative""><path d=""M1,1l6.2,6L13,1""></path></svg>"
NA,</summary>
NA,"<div class=""dropdown-menu flex-auto rounded px-0 mt-0 pb-4 p-lg-4 position-relative position-lg-absolute left-0 left-lg-n4"">"
NA,"<ul class=""list-style-none f5 pb-1"">"
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--primary text-bold py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Explore GitHub&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Explore GitHub;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""c3f52d9f4d6eec93b97c4bb014f85d62bbf9073150415ebefbe6a858966d1b65"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Explore GitHub&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Explore GitHub;&quot;}"" href=""/explore"">"
NA,Explore GitHub
</a>,</li>
NA,"<li class=""color-fg-muted text-normal f6 text-mono mb-1 border-top pt-3 mt-3 mb-1"">Learn and contribute</li>"
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Topics&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Topics;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""b4e01f13616235e8410196b8becce84face9ac2649e8cdaa7d3a89ec3961ccf2"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Topics&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Topics;&quot;}"" href=""/topics"">"
NA,Topics
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Collections&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Collections;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""8782c79e47468e1bccb9456735e7fd9640caf769c54c70ed3f5ed87227d0fc1c"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Collections&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Collections;&quot;}"" href=""/collections"">"
NA,Collections
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Trending&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Trending;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""2d280fc679869f20a6fa396b8c1a107398608cb0e1df747b08bd3845f5980315"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Trending&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Trending;&quot;}"" href=""/trending"">"
NA,Trending
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Learning Lab&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Learning Lab;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""ac755009d04d8b58e8bbb068a9c2f43327ed535360638d30cea1dedca003234f"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Learning Lab&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Learning Lab;&quot;}"" href=""https://lab.github.com/"">"
NA,Learning Lab
</a>,</li>
NA,<li>
